"font family","style","genre","subgenre","monospace","cap","ch","em","ex","ic","lh","foundry","designers","added","updated"
"Montserrat","thin italic","sans-serif","geometric","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","extra-light italic","sans-serif","geometric","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","light italic","sans-serif","geometric","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","regular italic","sans-serif","geometric","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","medium italic","sans-serif","geometric","false","784","400","800","353.515625","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","semi-bold italic","sans-serif","geometric","false","784","400","800","362.109375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","bold italic","sans-serif","geometric","false","784","400","800","362.109375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","extra-bold italic","sans-serif","geometric","false","784","400","800","362.109375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat","black italic","sans-serif","geometric","false","784","400","800","362.109375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2011-12-13","2019-07-23"
"Montserrat Alternates","thin","sans-serif","","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","extra-light","sans-serif","","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","light","sans-serif","","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","regular","sans-serif","","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","medium","sans-serif","","false","784","400","800","357.8125","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","semi-bold","sans-serif","","false","784","400","800","365.234375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","bold","sans-serif","","false","784","400","800","365.234375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","extra-bold","sans-serif","","false","784","400","800","365.234375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
"Montserrat Alternates","black","sans-serif","","false","784","400","800","365.234375","784","784","","Julieta Ulanovsky, Sol Matas, Juan Pablo del Peral, Jacques Le Bailly","2012-10-01","2019-07-16"
